address,locality,lat,long
2612 E Malone Ave.,Miner, MO 63801,36.8931913,-89.5342798
2021 Zumbehl Road,St. Charles, MO 63303,38.7829011,-90.5348421
228 Big Timber Loop Rd,Big Timber, MT 59011,45.83698,-109.944574
1801 Majestic Ln,Billings, MT 59102,45.7345477,-108.6040904
2023 Commerce Way,Bozeman, MT 59715,45.6994587,-111.0626009
2900 Harrison Ave.,Butte, MT 59701,45.981708,-112.5061505
5280 Grant Creek Rd,Missoula, MT 59808,46.91351,-114.032128
205 4th Ave. East,Superior, MT 59872,47.1924426,-114.8893769
,West Yellowstone, MT 59758,44.6621493,-111.1041092
900 Hwy 95 N,Beatty, NV 89003,36.9147414,-116.7533538
2755 Mountain City Highway,Elko, NV 89801,40.8383539,-115.7945076
1979 US 395,Gardnerville, NV 89410,38.6949755,-119.5480684
705 Hwy 362 Hawthorne,Hawthorne, NV 89415,38.5334979,-118.6189651
701 Bridger Ave,Las Vegas, NV 89101,36.1659378,-115.1391428
150 Main St.,Lovelock, NV 89419,40.1796244,-118.472552
31900 Las Vegas Blvd S,Primm, NV 89019,35.6107932,-115.3862667
3800 S Virginia St.,Reno, NV 89502,39.4889071,-119.7936863
171 Main St.,Tonopah, NV 89049,38.0693007,-117.2316522
810 W Wendover Blvd.,West Wendover, NV 89883,40.737986,-114.05881
1985 W Winnemucca Blvd.,Winnemucca, NV 89446,40.957176,-117.7488083
Northbound I-93,Hooksett, NH 3106,43.0043537,-71.4675043
Southbound I-93,Hooksett, NH 3106,,
700 Lafayette Road,Seabrook, NH 3874,42.8938529,-70.8690389
285 N. Plainfield Road,West Lebanon, NH 3784,43.6241096,-72.3237415
Mile Marker 71.7 New Jersey Turnpike,Cranbury, NJ 8512,,
Mile Marker 78 New Jersey Turnpike North,East Brunswick, NJ 8816,,
55 Parsonage Rd.,Edison, NJ 8837,40.5480869,-74.3343192
425 Market Place Blvd,Hamilton, NJ 8691,40.1964953,-74.6372363
530 Route 17 N,Paramus, NJ 7652,40.9574792,-74.074191
1 Premium Outlets Blvd,Tinton Falls, NJ 7753,40.2242127,-74.0939422
2600 Menaul Blvd NE,Albuquerque,  87107,35.108712,-106.6131959
4200 Sierra Vista Drive,Farmington, NM 87402,36.7669652,-108.1445656
111 Twin Buttes Rd,Gallup, NM 87301,35.5052251,-108.8290389
2500 N. Grand Ave.,Las Vegas, NM 87701,35.6218532,-105.2047135
2516 Historic Route 66,Santa Rosa, NM 88435,34.946913,-104.662307
2624 S Adams St.,Tucumcari, NM 88401,35.153957,-103.7235928
131 Colonie Center,Albany, NY 12205,42.7135536,-73.8135418
1062 Front Street,Binghamton, NY 13905,42.1458295,-75.901724
4455 Transit Road,Buffalo, NY 14221,42.9683335,-78.6959041
150th Ave and 147th St,Queens, NY 11430,40.661584,-73.793355
7 Aerial Way,Syosset, NY 11791,40.8002748,-73.5153174
1217 NY-300,Newburgh, NY 12550,41.4999474,-74.0715034
60 Smithfield Blvd,Plattsburgh, NY 12901,44.7023399,-73.4912305
850 County Road 39,Southampton, NY 11968,40.8920765,-72.4260932
441 Electronics Parkway,Liverpool, NY 13088,43.1025323,-76.1886708
50 Auert Ave.,Utica, NY 13501,43.1141373,-75.2084089
800 Brevard Road,Asheville, NC 28806,35.5296658,-82.6040132
1080 Piper Ln,Burlington, NC 27215,36.0701306,-79.508349
2720 W Mallard Creek Church Rd,Charlotte, NC 28262,35.341491,-80.7651589
5093 Fayetteville Rd.,Lumberton, NC 28358,34.6672751,-79.0024312
840 U.S. 64,Plymouth, NC 27962,35.8502299,-76.7565754
651 N. Winstead Avenue,Rocky Mount, NC 27804,35.9733671,-77.8474349
2674 W NC 24 Hwy,Warsaw, NC 28390,34.9933915,-78.1365483
9111 Blue Ash Road,Cincinnati, OH 45242,39.2244699,-84.3838897
9200 N Main Street,Dayton, OH 45415,39.8586317,-84.2775138
2221 Stringtown Rd,Grove City, OH 43123,39.877568,-83.0629995
1933 Roschman Ave.,Lima, OH 45804,40.7269208,-84.072491
8210 Macedonia Commons Blvd.,Macedonia, OH 44056,41.3120889,-81.5183141
1391 Conant Street,Maumee, OH 43537,41.5793602,-83.6668629
322 Holiday Drive,Ardmore, OK 73401,34.1798621,-97.1658709
7624 West Reno Ave #380,Oklahoma City, OK 73127,35.4614411,-97.6502659
2812 Fir Street,Perry, OK 73077,36.2891661,-97.3253152
1301 N Airport Rd,Weatherford, OK 73096,35.5384035,-98.6596336
1 Sunridge Lane,Baker City, OR 97814,44.783625,-117.81288
61535 S Highway 97,Bend, OR 97702,44.0348565,-121.3094407
210 D Street,Detroit, OR 97342,44.737197,-122.152388
1900 NW 6th St.,Grants Pass, OR 97526,42.4607596,-123.3232298
46510 Wildhorse Blvd.,Pendleton, OR 97801,45.650918,-118.671084
16625 SE 362nd Dr.,Sandy, OR 97055,45.4028474,-122.2925436
919 Kruse Way,Springfield, OR 97477,44.082099,-123.037707
2114 West 6th Street,The Dalles, OR 97058,45.6119994,-121.2084416
255 N Arney Rd,Woodburn, OR 97071,45.1530522,-122.882121
4680 Broadway,Allentown, PA 18104,40.5884531,-75.5610309
1308 Freedom Rd,Cranberry Township, PA 16066,40.6840123,-80.1086334
2225 Down Drive,Erie, PA 16509,42.0499838,-80.0852803
3819 Union Deposit Rd,Harrisburg, PA 17109,40.2775858,-76.8257674
1030 North Center Avenue,Somerset, PA 15501,40.017428,-79.0776051
1000 Premium Outlets Dr,Tannersville, PA 18372,41.0478287,-75.3122875
1000 Division St,East Greenwich, RI 2818,41.6613409,-71.4947813
108 Carolina Point,Greenville, SC 29605,34.8254436,-82.3076142
114 Bradford Blvd,Santee, SC 29142,33.4869134,-80.4752592
1305 W. Havens Street,Mitchell, SD 57301,43.701104,-98.0425996
302 W 5th St.,Murdo, SD 57559,43.8870943,-100.7102021
2200 N. Maple Ave,Rapid City, SD 57701,44.1070816,-103.2126531
1001 Airport Road,Chattanooga, TN 37421,35.0374769,-85.1970513
10936 Parkside Dr,Knxoville, TN 37934,35.9022925,-84.1484105
1641 Westgate Circle,Nashville, TN 37027,36.2912656,-86.733322
8231 West Amarillo Blvd.,Amarillo, TX 79124,35.1896295,-101.9305788
2535 Texas 71,Columbus, TX 78934,29.6901894,-96.5379938
2035 Interstate 45 Frontage Rd,Corsicana, TX 75109,32.1541682,-96.4685182
2700 West University Drive,Denton, TX 76201,33.2299196,-97.1668326
14820 North Fwy,Houston, TX 77090,29.9807722,-95.4212591
148 Interstate 45,Huntsville, TX 77340,30.7133798,-95.5664459
17044 I-20,Lindale, TX 75771,32.4922383,-95.5558068
3939 Interstate 35,San Marcos, TX 78666,29.8295987,-97.9820724
107 East 12th Street,Shamrock, TX 79079,35.2264864,-100.2489875
3107 S Laurent St.,Victoria, TX 77901,28.7673034,-96.9789208
701 Interstate 35,Bellmead, TX 76705,31.5816655,-97.1090343
Littlefield Interchange,Beaver, UT 84713,38.2769149,-112.6410518
12 N Grayson Parkway,Blanding, UT 84511,37.6256505,-109.4734413
1765 East Main,Green River, UT 84525,38.9939652,-110.1411557
16 South Main Street,Moab, UT 84532,38.5727804,-109.5517851
2100 S Main Street,Nephi, UT 84648,39.6778475,-111.8410802
925 Westwood Blvd.,Price, UT 85401,39.6016773,-110.8331845
20 W 1400 N,Richfield, UT 84701,38.788537,-112.083528
2312 South State Street,South Salt Lake City, UT 84115,40.720616,-111.8887785
1091 N Bluff St,St. George, UT 84770,37.1265686,-113.6021015
1568 East Saddleback Blvd.,Tooele, UT 84074,40.6853233,-112.2674013
2145 W Main Street,Tremonton, UT 84337,41.7102575,-112.1981831
499 Canal Street,Brattleboro, VT 5301,42.8392455,-72.5670149
222 Dorset Street,South Burlington, VT 5043,44.4628534,-73.1799462
9950 Brook Rd,Glen Allen, VA 23059,37.6690216,-77.4615964
880 N Lee Hwy,Lexington, VA 24450,37.7973232,-79.4186845
5900 E Virginia Beach Blvd,Norfolk, VA 23502,36.8588971,-76.2057865
1791 North Mecklenburg Avenue,South Hill, VA 23970,36.7481569,-78.1036073
119 Hite Lane,Strasburg,  22657,39.0052153,-78.3378305
2700 Potomac Mills Circle,Woodbridge, VA 22192,38.643548,-77.2953745
165 Malin Drive,Wytheville, VA 24382,36.9462287,-81.0548335
9384 Old Highway 99 North,Burlington, WA 98233,48.5100725,-122.3394442
1200 Lum Rd,Centralia, WA 98531,46.72984,-122.977335
1620 Canyon Rd,Ellensburg, WA 98926,46.9768472,-120.54101
2811 West 10th Ave,Kennewick, Washington 99336,46.1972125,-119.1613899
105 W Galbreath Way,Ritzville, WA 99169,47.1167458,-118.3677762
35 Bob Wise Drive,Triadelphia, WV 26059,40.0525734,-80.6284097
4601 Keystone Crossing,Eau Claire, WI 54701,44.7710896,-91.4378498
2845 Midwest Dr,Onalaska, WI 54650,43.8790055,-91.1890028
89 East Towne Mall,Madison, WI 53704,43.125046,-89.3062163
640 McEvoy St,Mauston, WI 53948,43.7959047,-90.0596075
11211 120th Ave,Pleasant Prairie, WI 53158,42.5183023,-87.9466899
595 S Taylor Drive,Sheboygan, WI 53081,43.7507151,-87.7457002
1400 Dell Range Blvd.,Cheyenne, WY 82009,41.161994,-104.807352
211 Decker Court,Gillette, WY 82716,44.2925167,-105.5266083
730 S Main St,Lusk, WY 82225,42.7561993,-104.4524348
612 North Main Street,Sheridan, WY 82801,44.8040911,-106.9562159
